Gadgets information
============================================================
0x000000000011442f : call qword ptr [r10] // 41ff12
0x0000000000076d5f : call qword ptr [r14] // 41ff16
0x00000000000ba867 : call qword ptr [r15] // 41ff17
0x000000000015cca6 : int1 ; jmp rax // f1ffe0
0x000000000017c942 : int1 ; jmp rbx // f1ffe3
0x00000000000990f5 : int1 ; jmp rcx // f1ffe1
0x000000000016c9b2 : int1 ; jmp rsp // f1ffe4
0x0000000000002613 : int1 ; ret // f1c3
0x000000000007d66a : iretd ; call rax // cfffd0
0x000000000007e2ff : iretd ; call rcx // cfffd1
0x000000000002a8d0 : iretd ; syscall // cf0f05
0x00000000001103bf : jmp 0x110385 // ebc3
0x0000000000112c17 : jmp 0x112be5 // ebcb
0x0000000000113677 : jmp 0x113645 // ebcb
0x000000000011f8f2 : jmp 0x11f8c0 // ebcb
0x0000000000144428 : jmp 0x1443f6 // ebcb
0x00000000001444a6 : jmp 0x144474 // ebcb
0x0000000000144938 : jmp 0x144906 // ebcb
0x00000000001449b6 : jmp 0x144984 // ebcb
0x0000000000145a58 : jmp 0x145a26 // ebcb
0x0000000000145ad6 : jmp 0x145aa4 // ebcb
0x0000000000145f68 : jmp 0x145f36 // ebcb
0x0000000000145fe6 : jmp 0x145fb4 // ebcb
0x000000000015a129 : jmp 0x15a0f7 // ebcb
0x000000000015a676 : jmp 0x15a644 // ebcb
0x000000000001fb0d : jmp 0x1fad3 // ebc3
0x0000000000002bfb : jmp 0x2bc9 // ebcb
0x00000000000038c3 : jmp 0x3889 // ebc3
0x00000000000038c7 : jmp 0x3895 // ebcb
0x0000000000042ed1 : jmp 0x42e9f // ebcb
0x0000000000043401 : jmp 0x433cf // ebcb
0x000000000004d89b : jmp 0x4d861 // ebc3
0x0000000000062ae0 : jmp 0x62aae // ebcb
0x000000000006f704 : jmp 0x6f6d2 // ebcb
0x0000000000071342 : jmp 0x71310 // ebcb
0x000000000007ea84 : jmp 0x7ea4a // ebc3
0x000000000008a7ac : jmp 0x8a772 // ebc3
0x0000000000098ace : jmp 0x98a94 // ebc3
0x0000000000098b9f : jmp 0x98b65 // ebc3
0x0000000000098c0e : jmp 0x98bd4 // ebc3
0x00000000000a9173 : jmp 0xa9141 // ebcb
0x00000000000aeac8 : jmp 0xaea96 // ebcb
0x00000000000b3991 : jmp 0xb395f // ebcb
0x00000000000c3d72 : jmp 0xc3d38 // ebc3
0x00000000000c9dfa : jmp 0xc9dc0 // ebc3
0x00000000000e4df2 : jmp 0xe4db8 // ebc3
0x0000000000040626 : jmp qword ptr [r8] // 45ff20
0x0000000000040627 : jmp qword ptr [rax] // ff20
0x000000000000256b : jmp qword ptr [rbx] // ff23
0x000000000000df00 : jmp qword ptr [rcx] // ff21
0x0000000000118554 : jmp qword ptr [rdi] // ff27
0x000000000016a72b : jmp qword ptr [rdx] // ff22
0x000000000015cccf : jmp qword ptr [rsi] // ff26
0x0000000000001b62 : jmp r10 // 4fffe2
0x000000000008ed07 : jmp r9 // 41ffe1
0x0000000000020571 : jmp rax // ffe0
0x000000000015712f : jmp rbx // ffe3
0x0000000000041caa : jmp rcx // ffe1
0x00000000000cf627 : jmp rdi // ffe7
0x0000000000001b63 : jmp rdx // ffe2
0x000000000002a58d : jmp rsi // ffe6
0x0000000000002a79 : jmp rsp // ffe4
0x000000000017e329 : lahf ; jmp rdi // 9ff2ffe7
0x00000000000eb90d : lahf ; ret // 9fc3
0x00000000000e5883 : lahf ; ret 0x8545 // 9fc24585
0x0000000000157e1d : lahf ; ret 0x871e // 9fc21e87
0x00000000000c1a0a : lahf ; ret 0x8feb // 9fc2eb8f
0x000000000004d168 : lahf ; ret 0xbcd9 // 9fc2d9bc
0x00000000000ca1f6 : lahf ; ret 0xc931 // 9fc231c9
0x0000000000056701 : lahf ; ret 0xd329 // 9fc229d3
0x000000000004ccec : lahf ; ret 0xe683 // 9fc283e6
0x000000000004eb55 : lahf ; ret 0xe783 // 9fc283e7
0x00000000000e4b0b : lahf ; ret 0xe883 // 9fc283e8
0x0000000000099099 : lahf ; ret 0xea81 // 9fc281ea
0x000000000004d576 : lahf ; ret 0xf640 // 9fc240f6
0x00000000000facdd : lahf ; retf 0 // 9fca0000
0x000000000003c795 : leave ; ret // c9c3
0x000000000007cebb : leave ; ret 0x31 // c9c23100
0x00000000000e7304 : leave ; ret 7 // c9c20700
0x000000000015a0b4 : leave ; retf // c9cb
0x00000000001570a9 : leave ; retf -0x3335 // c9cacbcc
0x0000000000037133 : leave ; retf 0 // c9ca0000
0x0000000000158881 : leave ; retf 0x6ee8 // c9cae86e
0x0000000000064ada : lodsb al, byte ptr [rsi] ; retf // accb
0x000000000002c458 : lodsb al, byte ptr [rsi] ; retf 0x36 // acca3600
0x00000000000428f2 : lodsd eax, dword ptr [rsi] ; ret // adc3
0x000000000005f19f : lodsd eax, dword ptr [rsi] ; retf 0 // adca0000
0x000000000017e3b1 : movsb byte ptr [rdi], byte ptr [rsi] ; jmp qword ptr [rax] // a4f2ff20
0x0000000000080518 : movsb byte ptr [rdi], byte ptr [rsi] ; ret // a4c3
0x000000000011e150 : movsb byte ptr [rdi], byte ptr [rsi] ; ret 0x27 // a4c22700
0x000000000018ccac : movsb byte ptr [rdi], byte ptr [rsi] ; ret 1 // a4c20100
0x00000000001700d0 : movsb byte ptr [rdi], byte ptr [rsi] ; retf // a4cb
0x000000000016f0d8 : movsb byte ptr [rdi], byte ptr [rsi] ; retf -8 // a4caf8ff
0x000000000017e441 : movsd dword ptr [rdi], dword ptr [rsi] ; jmp qword ptr [rcx] // a5f2ff21
0x00000000000427e2 : movsd dword ptr [rdi], dword ptr [rsi] ; ret // a5c3
0x000000000007a547 : movsd dword ptr [rdi], dword ptr [rsi] ; retf -1 // a5caffff
0x0000000000006ae0 : nop ; ret // 90c3
0x0000000000002fae : nop ; ret 0x5bdb // 90c2db5b
0x000000000001dcb8 : nop ; retf // 90cb
0x000000000000354b : nop ; retf -0x1612 // 90caeee9
